tamanho,multiplicador,fator_carga,total_colisoes,max_tentativas,media_tentativas,sem_colisao_pct,com_colisao_pct
100,1,0.9901,215,36,2.1500,50.0,50.0
100,2,0.4739,34,6,0.3400,81.0,19.0
100000,1,1.0000,940112,23063,9.4011,49.9,50.1
100000,2,0.5000,65280,13,0.6528,74.9,25.1
1000000,2,0.5000,976071,21,0.9761,62.3,37.7
